user_id,movie_id,rating,timestamp
1,1,5.0,1030349564
1,18,5.0,1099052376
1,16,4.9,1599121577
1,2,3.0,1200427519
1,9,3.5,1389151677
1,6,1.8,1151079598
1,12,3.0,1396917567
1,4,5.0,1199502978
1,19,4.5,1279394470
1,17,4.9,1056972561
1,14,3.7,1419498548
2,14,5.0,1396360081
2,16,4.4,1328740110
2,5,4.9,1380072391
2,9,4.8,1323541287
2,10,5.0,1406019796
2,18,3.0,1338175028
3,2,3.6,1091355424
3,5,4.8,1497653800
3,6,3.4,1485775494
3,4,4.1,1409783328
3,11,4.4,1272981039
3,17,5.0,1392121003
3,3,3.3,1590804839
3,14,4.6,1570916578
3,10,2.9,1513653348
3,12,3.5,1026063245
3,16,4.8,1173660954
3,8,2.1,1109174313
4,8,4.9,1521669253
4,10,3.0,1572434365
4,1,4.0,1168973642
4,9,3.6,1456545752
4,19,3.9,1292072678
4,14,4.0,1002235000
4,2,4.6,1292121203
5,15,4.2,1218520688
5,2,2.9,1149638768
5,13,4.1,1141951830
5,4,4.5,1123035620
5,12,5.0,1132863028
5,18,3.1,1227174085
5,16,4.8,1049905866
5,19,3.3,1513911991
5,17,4.8,1505874711
5,10,3.5,1568249203
5,20,3.2,1285322750
5,1,4.4,1387791599
5,5,3.8,1035213498
6,6,3.6,1178017694
6,12,3.9,1288717145
6,5,4.6,1237085688
6,20,1.5,1399873327
6,10,4.3,1250368452
6,2,4.4,1382380040
6,13,4.8,1124001512
6,11,4.5,1456659347
6,8,3.5,1588781719
6,1,4.9,1433484403
7,1,4.0,1077633091
7,15,3.6,1500229623
7,11,2.1,1426161286
7,5,3.4,1182708911
7,7,4.3,1402330059
7,10,5.0,1001983509
7,20,3.3,1385992349
7,16,4.1,1563236122
7,2,4.5,1192463073
7,12,5.0,1490345952
7,13,3.1,1132166290
7,9,5.0,1187276799
7,3,4.5,1126960685
7,14,4.0,1066385640
7,18,4.8,1346819932
8,17,4.5,1586784136
8,5,4.6,1470260911
8,4,2.8,1258185058
8,13,4.6,1026658609
8,7,3.7,1207426220
9,5,5.0,1156943484
9,4,4.3,1001079600
9,19,4.3,1160409267
9,10,2.6,1334444807
9,20,3.6,1085871668
9,17,5.0,1134667123
9,6,3.0,1174526510
9,9,3.6,1570137231
10,8,4.5,1593867648
10,3,5.0,1204939202
10,11,4.2,1283627673
10,4,5.0,1061819576
10,12,3.6,1394620188
10,6,3.0,1420194521
11,17,5.0,1004466271
11,11,3.6,1497576975
11,3,4.9,1303090455
11,9,4.5,1218825555
11,13,4.9,1324159127
11,8,4.8,1551904800
11,2,5.0,1262869948
11,18,4.7,1584556354
11,15,4.3,1302480960
11,6,3.5,1305752912
11,12,3.7,1296248071
11,10,5.0,1389229565
11,19,3.4,1276890017
11,5,4.2,1422352497
12,18,2.8,1003741196
12,12,3.5,1548591389
12,16,4.8,1147435376
12,11,4.5,1300860757
12,17,4.2,1204591500
12,6,3.0,1046547339
12,15,4.9,1417226642
12,7,2.9,1315413330
12,13,3.7,1566236526
12,2,5.0,1010198499
12,19,5.0,1178580630
12,14,3.9,1247212966
12,1,4.4,1212724958
12,3,5.0,1049437769
12,8,4.5,1373507001
13,12,3.9,1394659116
13,19,4.6,1014509187
13,1,5.0,1116595132
13,4,3.4,1549702507
13,3,2.6,1344682002
14,16,5.0,1240539820
14,11,3.4,1316953828
14,4,4.2,1012842659
14,2,4.6,1099204497
14,5,4.2,1555762920
14,6,2.5,1547857780
14,17,3.4,1362127221
14,10,5.0,1132985867
14,12,3.6,1248523535
14,14,4.1,1515965595
14,20,4.2,1367907188
15,3,4.8,1355401737
15,13,5.0,1544006941
15,2,4.1,1260074560
15,10,4.0,1544339722
15,7,1.5,1340007738
